MnFeCoNiAl
increment: 10
strain_r: 0.001
temperature: 300
e: Mn-Co, Fe-Ni,Al
ratio:50.0:50.0,33.0:67.0,100
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,Ty0_tensile,Delta_Eb,Delta_sigma_ss
0.3,0.1,0.6,0.15,0.15,0.033,0.067,0.6,14.573533333333335,2.74174221394,143.7108,54.5449633333,0.317360863566,0.0132341200744,805.305644291,1.99813731726,170.625082309
0.3,0.2,0.5,0.15,0.15,0.067,0.133,0.5,14.058666666666669,2.70906677874,151.3135,57.5175266667,0.31536862561,0.015385572063,933.372110305,2.13095568628,202.263996396
0.3,0.3,0.4,0.15,0.15,0.1,0.2,0.4,13.543800000000003,2.67558350545,158.9162,60.49009,0.313572190089,0.0163870061402,1018.32721753,2.19901958169,222.999477858
0.3,0.4,0.3,0.15,0.15,0.133,0.267,0.3,13.028933333333335,2.64124053189,166.5189,63.4626533333,0.3119440431,0.015940203569,1043.82448888,2.19373664055,228.402425195
0.3,0.5,0.2,0.15,0.15,0.167,0.333,0.2,12.51406666666667,2.60598045429,174.1216,66.4352166667,0.310461595043,0.013670129689,982.03245116,2.09104478924,211.437429236
0.3,0.6,0.1,0.15,0.15,0.2,0.4,0.1,11.999200000000004,2.56973947899,181.7243,69.40778,0.309106126143,0.00910224748143,779.201669389,1.82550942576,159.534417645
0.3,0.7,0.0,0.15,0.15,0.233,0.467,0.0,11.484333333333332,2.53244640154,189.327,72.3803433333,0.307861991812,0.00163198439011,257.423510708,1.02551728988,37.9755166983
0.4,0.0,0.6,0.2,0.2,0.0,0.0,0.6,14.627200000000002,2.74510355667,159.6448,60.7892,0.313101669375,0.0124418009901,850.513206257,2.17579371489,185.599160271
0.4,0.1,0.5,0.2,0.2,0.033,0.067,0.5,14.112333333333337,2.71250954189,167.2475,63.7617633333,0.311503095716,0.0146604654588,990.542709144,2.32016227928,220.665459273
0.4,0.2,0.4,0.2,0.2,0.067,0.133,0.4,13.597466666666667,2.67911280566,174.8502,66.7343266667,0.310046933367,0.0157521026974,1082.9024172,2.39127806107,243.485290209
0.4,0.3,0.3,0.2,0.2,0.1,0.2,0.3,13.082600000000001,2.64486202046,182.4529,69.70689,0.308714963471,0.0154247326913,1111.03898155,2.38176735507,249.510316389
0.4,0.4,0.2,0.2,0.2,0.133,0.267,0.2,12.567733333333335,2.60970039711,190.0556,72.6794533333,0.307491947747,0.0133114203042,1046.25638132,2.26717276897,231.387598301
0.4,0.5,0.1,0.2,0.2,0.167,0.333,0.1,12.05286666666667,2.57356485237,197.6583,75.6520166667,0.306365042924,0.00894822849215,832.941691994,1.97929569915,175.873983551
0.4,0.6,0.0,0.2,0.2,0.2,0.4,0.0,11.538000000000002,2.53638500788,205.261,78.62458,0.305323347991,0.00174458009695,290.173286698,1.14009539597,46.3533309479
0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.5,14.166000000000004,2.71594358793,183.1815,70.006,0.308327143388,0.0139315323487,1041.38972937,2.50221306815,237.31309832
0.5,0.1,0.4,0.25,0.25,0.033,0.067,0.4,13.651133333333334,2.68263283173,190.7842,72.9785633333,0.307124937008,0.015111201981,1142.00713779,2.57812248167,262.470301082
0.5,0.2,0.3,0.25,0.25,0.067,0.133,0.3,13.136266666666668,2.64847361862,198.3869,75.9511266667,0.306016834159,0.0149004457478,1173.61267059,2.56569031444,269.366961454
0.5,0.3,0.2,0.25,0.25,0.1,0.2,0.2,12.621400000000001,2.61340976503,205.9896,78.92369,0.304992201961,0.0129402248014,1106.75338273,2.4402786726,250.363656319
0.5,0.4,0.1,0.25,0.25,0.133,0.267,0.1,12.106533333333333,2.57737888727,213.5923,81.8962533333,0.304041951288,0.00877692638867,884.08688696,2.13109135363,191.587900098
0.5,0.5,0.0,0.25,0.25,0.167,0.333,0.0,11.591666666666669,2.54031141998,221.195,84.8688166667,0.303158266415,0.00183359079964,321.730118084,1.25305054603,54.6748509788
0.6,0.0,0.4,0.3,0.3,0.0,0.0,0.4,13.7048,2.68614364433,206.7182,79.2228,0.304663556451,0.0144645030385,1195.40534863,2.75904108006,279.867148469
0.6,0.1,0.3,0.3,0.3,0.033,0.067,0.3,13.189933333333334,2.65207539362,214.3209,82.1953633333,0.30372864909,0.0143676087245,1231.32633636,2.74508387098,287.890447685
0.6,0.2,0.2,0.3,0.3,0.067,0.133,0.2,12.675066666666668,2.61710863288,221.9236,85.1679266667,0.302859002712,0.0125568982924,1163.29893085,2.60997728556,268.28353369
